TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
03/06/2020,40,Vallès Occidental,08187,Sabadell,1,Dona,Sospitós,15
03/06/2020,25,Pallars Jussà ,25171,La Pobla de Segur,1,Dona,Sospitós,1
03/06/2020,24,Osona,08298,Vic,1,Dona,Sospitós,7
03/06/2020,13,Barcelonès,08245,Santa Coloma de Gramenet,1,Dona,Sospitós,6
03/06/2020,02,Alt Empordà ,17152,Roses,0,Home,Sospitós,1
03/06/2020,28,Pla de l'Estany,17137,Porqueres,0,Home,Sospitós,1
03/06/2020,40,Vallès Occidental,08187,Sabadell,0,Home,Positiu per ELISA,1
03/06/2020,34,Selva,17213,Vidreres,0,Home,Sospitós,1
03/06/2020,08,Baix Camp,43092,Mont-Roig del Camp,1,Dona,Sospitós,1
03/06/2020,41,Vallès Oriental,08042,Cànoves i Samalús,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08208,Sant Esteve Sesrovires,1,Dona,Sospitós,1
03/06/2020,09,Baix Ebre,43904,l'Aldea,0,Home,Sospitós,1
03/06/2020,33,Segrià ,25021,Almenar,0,Home,Positiu PCR,1
03/06/2020,28,Pla de l'Estany,17015,Banyoles,1,Dona,Sospitós,3
03/06/2020,33,Segrià ,25023,Alpicat,1,Dona,Positiu PCR,1
03/06/2020,11,Baix Llobregat,08244,Santa Coloma de Cervelló,1,Dona,Positiu per ELISA,1
03/06/2020,34,Selva,17009,Arbúcies,1,Dona,Sospitós,1
03/06/2020,36,Tarragonès,43047,Constantí,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08066,Catellví de Rosanes,1,Dona,Sospitós,1
03/06/2020,21,Maresme,08219,Vilassar de Mar,1,Dona,Sospitós,1
03/06/2020,07,Bages,08053,Castellbell i el Vilar,0,Home,Sospitós,1
03/06/2020,34,Selva,17202,Tossa de Mar,1,Dona,Sospitós,1
03/06/2020,20,Gironès,17089,Llagostera,0,Home,Sospitós,2
03/06/2020,33,Segrià ,25014,Alfés,1,Dona,Sospitós,1
03/06/2020,07,Bages,08191,Sallent,0,Home,Sospitós,3
03/06/2020,19,Garrotxa,17139,Les Preses,1,Dona,Sospitós,9
03/06/2020,12,Baix Penedès,43037,Calafell,1,Dona,Sospitós,1
03/06/2020,11,Baix Llobregat,08114,Martorell,0,Home,Sospitós,2
03/06/2020,20,Gironès,17025,Bordils,1,Dona,Sospitós,1
03/06/2020,21,Maresme,08121,Mataró,0,Home,Sospitós,19
03/06/2020,21,Maresme,08006,Arenys de Mar,0,Home,Sospitós,3
03/06/2020,30,Ribera d'Ebre,43060,Flix,1,Dona,Sospitós,1
03/06/2020,32,Segarra,25110,Guissona,1,Dona,Sospitós,4
03/06/2020,41,Vallès Oriental,08159,Parets del Vallès,1,Dona,Sospitós,2
